YEAR DAY  RAD_AU  HG_LAT  HG_LON
2017 229    1.01     6.7   353.1
2017 230    1.01     6.8   339.8
2017 231    1.01     6.8   326.6
2017 232    1.01     6.9   313.4
2017 233    1.01     6.9   300.2
2017 234    1.01     6.9   287.0
2017 235    1.01     7.0   273.8
2017 236    1.01     7.0   260.6
2017 237    1.01     7.0   247.3
2017 238    1.01     7.1   234.1
2017 239    1.01     7.1   220.9
2017 240    1.01     7.1   207.7
2017 241    1.01     7.1   194.5
2017 242    1.01     7.1   181.3
2017 243    1.01     7.2   168.1
2017 244    1.01     7.2   154.9
2017 245    1.01     7.2   141.7
2017 246    1.01     7.2   128.4
2017 247    1.01     7.2   115.2
2017 248    1.01     7.2   102.0
2017 249    1.01     7.2    88.8
2017 250    1.01     7.2    75.6
2017 251    1.01     7.2    62.4
2017 252    1.01     7.2    49.2
2017 253    1.01     7.2    36.0
2017 254    1.01     7.2    22.8
2017 255    1.01     7.2     9.6
